medcodeid,term,snomedctconceptid,cleansedreadcode,eth16,eth5
141431000000111,scottish - ethnic category 2001 census,92541000000108,9i21.00,1. British,0. White
2486161000000112,white - northern ireland ethnic category 2011 census,977351000000100,9t10.00,1. British,0. White
141451000000116,northern irish - ethnic category 2001 census,92561000000109,9i24.00,1. British,0. White
1780408016,other white british ethnic group,401214002,9S14.00,1. British,0. White
2487321000000116,white: other british - scotland ethnic category 2011 census,977931000000106,9t21.00,1. British,0. White
1564391000006113,british,1564391000006109,EMISNQBR12,1. British,0. White
1968051000006116,white:eng/welsh/scot/ni/brit - england and wales 2011 census,976631000000101,9t00.00,1. British,0. White
158341000000117,british or mixed british - ethnic category 2001 census,92391000000108,9i0..00,1. British,0. White
459726019,white british,315236000,9S10.00,1. British,0. White
196641000006110,race: caucasian,413773004,134B.00,1. British,0. White
1780407014,white scottish,401213008,9S13.00,1. British,0. White
1063981000000117,white british - ethnic category 2001 census,494131000000105,9i00.00,1. British,0. White
2487281000000112,white: scottish - scotland ethnic category 2011 census,977911000000103,9t20.00,1. British,0. White
157281000000117,english - ethnic category 2001 census,110761000000106,9i20.00,1. British,0. White
142691000000116,ulster scots - ethnic category 2001 census,93921000000101,9i25.00,1. British,0. White
6846371000006111,caucasian,413773004,^ESCTCA684637,1. British,0. White
285925010,white,185984009,9S1..00,1. British,0. White
141441000000119,welsh - ethnic category 2001 census,92551000000106,9i22.00,1. British,0. White
141461000000118,cornish - ethnic category 2001 census,92571000000102,9i23.00,1. British,0. White
2484671000000118,white: irish - england and wales ethnic category 2011 census,976651000000108,9t01.00,2. Irish,0. White
2487361000000112,white: irish - scotland ethnic category 2011 census,977951000000104,9t22.00,2. Irish,0. White
1564961000006118,irish,1564961000006102,EMISNQIR3,2. Irish,0. White
285978014,irish (nmo),186014006,9SA9.00,2. Irish,0. White
1064041000000111,white irish - ethnic category 2001 census,494161000000100,9i10.00,2. Irish,0. White
141301000000110,irish - ethnic category 2001 census,92401000000106,9i1..00,2. Irish,0. White
459727011,white irish,315237009,9S11.00,2. Irish,0. White
937411000006115,other white or white unspecified ethnic category 2001 census,94051000000109,9i2T.00,3. Other White,0. White
937311000006113,commonwealth (russian) indep states - ethn categ 2001 census,88961000000104,9i2H.00,3. Other White,0. White
138201000000110,polish - ethnic category 2001 census,88941000000100,9i2F.00,3. Other White,0. White
142791000000111,other mixed white - ethnic category 2001 census,94031000000102,9i2S.00,3. Other White,0. White
138191000000113,gypsy/romany - ethnic category 2001 census,88931000000109,9i2E.00,3. Other White,0. White
138231000000116,albanian - ethnic category 2001 census,88971000000106,9i2K.00,3. Other White,0. White
713341000000111,british israelite,368051000000100,13y6.00,3. Other White,0. White
459728018,other white ethnic group,185984009,9S12.00,3. Other White,0. White
142741000000118,kosovan - ethnic category 2001 census,93981000000100,9i2J.00,3. Other White,0. White
285987017,other european (nmo),186017004,9SAC.00,3. Other White,0. White
157991000000110,serbian - ethnic category 2001 census,88981000000108,9i2N.00,3. Other White,0. White
411594011,greek (nmo),275599007,9SAA.11,3. Other White,0. White
937371000006116,other republics former yugoslavia - ethnic categ 2001 census,94011000000105,9i2P.00,3. Other White,0. White
1968251000006113,irish traveller - northern ireland ethnic cat 2011 census,977371000000109,9t11.00,3. Other White,0. White
138171000000114,irish traveller - ethnic category 2001 census,88911000000101,9i2C.00,3. Other White,0. White
142721000000113,turkish cypriot - ethnic category 2001 census,93951000000106,9i2A.00,3. Other White,0. White
1968081000006112,white: other white backgrd- eng+wales ethnic cat 2011 census,976691000000100,9t03.00,3. Other White,0. White
142751000000115,bosnian - ethnic category 2001 census,93991000000103,9i2L.00,3. Other White,0. White
2645811000000115,roma ethnic group,718958002,9TC,3. Other White,0. White
937391000006115,oth white european/european unsp/mixed european 2001 census,94041000000106,9i2R.00,3. Other White,0. White
1968461000006111,white: other white ethnic grp- scotland ethnic cat 2011 cens,978031000000109,9t25.00,3. Other White,0. White
156921000000110,turkish - ethnic category 2001 census,110401000000103,9i29.00,3. Other White,0. White
141661000000115,cypriot (part not stated) - ethnic category 2001 census,92791000000109,9i26.00,3. Other White,0. White
411595012,greek cypriot (nmo),275600005,9SAA.12,3. Other White,0. White
142761000000117,croatian - ethnic category 2001 census,94001000000108,9i2M.00,3. Other White,0. White
937301000006110,baltic estonian/latvian/lithuanian - ethn categ 2001 census,88951000000102,9i2G.00,3. Other White,0. White
141311000000112,other white background - ethnic category 2001 census,92411000000108,9i2..00,3. Other White,0. White
138181000000111,traveller - ethnic category 2001 census,88921000000107,9i2D.00,3. Other White,0. White
158481000000115,italian - ethnic category 2001 census,93961000000109,9i2B.00,3. Other White,0. White
142711000000119,greek cypriot - ethnic category 2001 census,93941000000108,9i28.00,3. Other White,0. White
1968441000006112,white: gypsy/irish traveller - scotland ethnic cat 2011 cens,977971000000108,9t23.00,3. Other White,0. White
142701000000116,greek - ethnic category 2001 census,93931000000104,9i27.00,3. Other White,0. White
411597016,turkish cypriot (nmo),275602002,9SAB.12,3. Other White,0. White
2487481000000113,white: polish - scotland ethnic category 2011 census,978011000000101,9t24.00,3. Other White,0. White
459786016,irish traveller,315283003,9SI..00,3. Other White,0. White
405071018,turkish/turkish cypriot (nmo),270467002,9SAB.00,3. Other White,0. White
405070017,greek/greek cypriot (nmo),270466006,9SAA.00,3. Other White,0. White
411596013,turkish (nmo),275601009,9SAB.11,3. Other White,0. White
142781000000114,mixed irish and other white - ethnic category 2001 census,94021000000104,9i2Q.00,3. Other White,0. White
1968071000006114,white: gypsy/irish traveller - eng+wales eth cat 2011 census,976671000000104,9t02.00,3. Other White,0. White
141321000000118,white and black caribbean - ethnic category 2001 census,92421000000102,9i3..00,4. White and Black Caribbean,4. Mixed
460153018,black caribbean and white,315634007,9SB5.00,4. White and Black Caribbean,4. Mixed
1968091000006110,mixed: white+black caribbean - eng+wales eth cat 2011 census,976711000000103,9t04.00,4. White and Black Caribbean,4. Mixed
1968261000006110,mixed: white and black caribbean - ni ethnic cat 2011 census,977391000000108,9t12.00,4. White and Black Caribbean,4. Mixed
141331000000116,white and black african - ethnic category 2001 census,92431000000100,9i4..00,5. White and Black African,4. Mixed
460154012,black african and white,315635008,9SB6.00,5. White and Black African,4. Mixed
1968101000006116,mixed: white+black african - eng+wales eth cat 2011 census,976731000000106,9t05.00,5. White and Black African,4. Mixed
196611000006111,race: afro-caucasian,413466005,134L.00,5. White and Black African,4. Mixed
1968271000006115,mixed: white and black african - ni ethnic cat 2011 census,977411000000108,9t13.00,5. White and Black African,4. Mixed
141341000000113,white and asian - ethnic category 2001 census,92441000000109,9i5..00,6. White and Asian,4. Mixed
285991010,"other ethnic, asian/white orig",186021006,9SB2.00,6. White and Asian,4. Mixed
1968111000006118,mixed: white+asian - eng+wales ethnic category 2011 census,976751000000104,9t06.00,6. White and Asian,4. Mixed
1968281000006117,mixed: white and asian - ni ethnic category 2011 census,977431000000100,9t14.00,6. White and Asian,4. Mixed
157291000000115,black and white - ethnic category 2001 census,110771000000104,9i62.00,7. Other Mixed,4. Mixed
285992015,"other ethnic, mixed white orig",186022004,9SB3.00,7. Other Mixed,4. Mixed
4740401000006118,"other ethnic, other mixed origin",186023009,^ESCTOT474040,7. Other Mixed,4. Mixed
141471000000113,black and asian - ethnic category 2001 census,92581000000100,9i60.00,7. Other Mixed,4. Mixed
4740341000006112,"other ethnic, black/white origin",186020007,^ESCTOT474034,7. Other Mixed,4. Mixed
937511000006119,other mixed or mixed unspecified ethnic category 2001 census,92621000000100,9i65.00,7. Other Mixed,4. Mixed
459729014,mixed ethnic census group,315239007,ESCTMI5,7. Other Mixed,4. Mixed
285993013,"other ethnic, other mixed orig",186023009,9SB4.00,7. Other Mixed,4. Mixed
1968291000006119,mixed: other mixed/multiple ethnic backgrd - ni 2011 census,977551000000106,9t15.00,7. Other Mixed,4. Mixed
285952017,other black - black/white orig,185999009,9S51.00,7. Other Mixed,4. Mixed
285990011,"other ethnic, black/white orig",186020007,9SB1.00,7. Other Mixed,4. Mixed
285953010,other black - black/asian orig,186000006,9S52.00,7. Other Mixed,4. Mixed
141481000000110,black and chinese - ethnic category 2001 census,92591000000103,9i61.00,7. Other Mixed,4. Mixed
285989019,"other ethnic, mixed origin",186019001,9SB..00,7. Other Mixed,4. Mixed
1968471000006116,mixed/multiple ethnic grps: any- scot ethnic cat 2011 census,978051000000102,9t26.00,7. Other Mixed,4. Mixed
141491000000112,chinese and white - ethnic category 2001 census,92601000000109,9i63.00,7. Other Mixed,4. Mixed
4740361000006111,"other ethnic, asian/white origin",186021006,^ESCTOT474036,7. Other Mixed,4. Mixed
158361000000116,asian and chinese - ethnic category 2001 census,92611000000106,9i64.00,7. Other Mixed,4. Mixed
141351000000111,other mixed background - ethnic category 2001 census,92451000000107,9i6..00,7. Other Mixed,4. Mixed
4740381000006118,"other ethnic, mixed white origin",186022004,^ESCTOT474038,7. Other Mixed,4. Mixed
781081000006113,indian,414481008,9T1D.00,8. Indian,1. South Asian
1968131000006112,asian/asian brit: indian - eng+wales ethnic cat 2011 census,976791000000107,9t08.00,8. Indian,1. South Asian
1968301000006118,asian or asian british: indian - ni ethnic cat 2011 census,977591000000103,9t16.00,8. Indian,1. South Asian
157271000000119,indian or british indian - ethnic category 2001 census,110751000000108,9i7..00,8. Indian,1. South Asian
1564921000006112,indian,1564921000006108,EMISNQIN16,8. Indian,1. South Asian
285954016,indian,414481008,9S6..00,8. Indian,1. South Asian
1968491000006115,"asian: indian, indian scot/indian brit- scotland 2011 census",978111000000100,9t28.00,8. Indian,1. South Asian
250228011,indian origin,160519009,1347.00,8. Indian,1. South Asian
1968141000006119,asian/asian british:pakistani- eng+wales eth cat 2011 census,976811000000108,9t09.00,9. Pakistani,1. South Asian
141361000000114,pakistani or british pakistani - ethnic category 2001 census,92461000000105,9i8..00,9. Pakistani,1. South Asian
285955015,pakistani,186002003,9S7..00,9. Pakistani,1. South Asian
1565441000006111,pakistani,1565441000006107,EMISNQPA32,9. Pakistani,1. South Asian
1968311000006115,asian/asian british: pakistani - ni ethnic cat 2011 census,977711000000100,9t17.00,9. Pakistani,1. South Asian
196721000006111,race: pakistani,186002003,134M.00,9. Pakistani,1. South Asian
1968481000006118,asian: pakistani/pakistani scot/pakistani brit- scot 2011,978071000000106,9t27.00,9. Pakistani,1. South Asian
1564291000006119,bangladeshi,1564291000006103,EMISNQBA5,10. Bangladeshi,1. South Asian
1968501000006111,"bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011",978171000000105,9t29.00,10. Bangladeshi,1. South Asian
196631000006117,race: bangladeshi,186003008,134I.00,10. Bangladeshi,1. South Asian
285956019,bangladeshi,186003008,9S8..00,10. Bangladeshi,1. South Asian
1968321000006111,asian/asian british: bangladeshi - ni ethnic cat 2011 census,977731000000108,9t18.00,10. Bangladeshi,1. South Asian
937541000006115,bangladeshi or british bangladeshi - ethn categ 2001 census,92471000000103,9i9..00,10. Bangladeshi,1. South Asian
1968151000006117,asian/asian brit: bangladeshi- eng+wales eth cat 2011 census,976831000000100,9t0A.00,10. Bangladeshi,1. South Asian
286020010,other asian,315280000,9T1E.00,11. Other Asian,1. South Asian
405069018,e afric asian/indo-carib (nmo),270465005,9SA6.00,11. Other Asian,1. South Asian
141541000000115,east african asian - ethnic category 2001 census,92661000000108,9iA3.00,11. Other Asian,1. South Asian
141521000000110,punjabi - ethnic category 2001 census,92641000000107,9iA1.00,11. Other Asian,1. South Asian
141571000000114,caribbean asian - ethnic category 2001 census,92691000000102,9iA7.00,11. Other Asian,1. South Asian
250243013,race: west indian,160531006,134K.00,11. Other Asian,1. South Asian
1968341000006116,asian/asian british: other asian - ni ethnic cat 2011 census,977771000000105,9t1A.00,11. Other Asian,1. South Asian
141381000000117,other asian background - ethnic category 2001 census,92481000000101,9iA..00,11. Other Asian,1. South Asian
937651000006117,other asian or asian unspecified ethnic category 2001 census,92701000000102,9iAA.00,11. Other Asian,1. South Asian
411584018,indo-caribbean (nmo),275597009,9SA6.12,11. Other Asian,1. South Asian
411583012,east african asian (nmo),275596000,9SA6.11,11. Other Asian,1. South Asian
136081000000111,sri lankan - ethnic category 2001 census,86461000000107,9iA4.00,11. Other Asian,1. South Asian
1968171000006110,asian/asian brit: other asian- eng+wales eth cat 2011 census,976871000000103,9t0C.00,11. Other Asian,1. South Asian
141531000000112,kashmiri - ethnic category 2001 census,92651000000105,9iA2.00,11. Other Asian,1. South Asian
141511000000116,mixed asian - ethnic category 2001 census,92631000000103,9iA9.00,11. Other Asian,1. South Asian
250231012,west indian origin,160522006,134A.00,11. Other Asian,1. South Asian
285977016,other asian (nmo),186013000,9SA8.00,11. Other Asian,1. South Asian
459784018,other asian ethnic group,315281001,9SH..00,11. Other Asian,1. South Asian
141551000000117,tamil - ethnic category 2001 census,92671000000101,9iA5.00,11. Other Asian,1. South Asian
157301000000116,sinhalese - ethnic category 2001 census,110781000000102,9iA6.00,11. Other Asian,1. South Asian
285976013,indian sub-continent (nmo),186012005,9SA7.00,11. Other Asian,1. South Asian
1968521000006118,asian: other asian group - scotland ethnic cat 2011 census,978211000000108,9t2B.00,11. Other Asian,1. South Asian
250224013,asian origin,160515003,1343.00,11. Other Asian,1. South Asian
141561000000119,british asian - ethnic category 2001 census,92681000000104,9iA8.00,11. Other Asian,1. South Asian
412016016,o/e - asian origin,276029002,2263.11,11. Other Asian,1. South Asian
1968361000006117,black/afri/carib/black brit: caribbean- ni eth cat 2011 cens,977811000000105,9t1C.00,12. Caribbean,2. Black
1968551000006110,carib/black: caribbean/carib scot/carib brit- scotland 2011,978271000000103,9t2E.00,12. Caribbean,2. Black
154401000000118,caribbean - ethnic category 2001 census,107691000000105,9iB..00,12. Caribbean,2. Black
5516681000006114,black caribbean/west india/guyana,270460000,^ESCTBL551668,12. Caribbean,2. Black
514611000006111,black caribbean,185988007,9S2..00,12. Caribbean,2. Black
1968191000006111,black/african/caribbn/black brit: caribbean - eng+wales 2011,976911000000101,9t0E.00,12. Caribbean,2. Black
1564491000006115,central african,1564491000006104,EMISNQCE3,13. African,2. Black
1968181000006113,black/african/carib/black brit: african- eng+wales 2011 cens,976891000000104,9t0D.00,13. African,2. Black
285943014,black - other african country,185993005,9S44.00,13. African,2. Black
285971015,other african countries (nmo),186010002,9SA5.00,13. African,2. Black
4917081000006119,central african republic,223522008,^ESCTCE491708,13. African,2. Black
141391000000115,african - ethnic category 2001 census,92491000000104,9iC..00,13. African,2. Black
1968351000006119,black/afri/carib/black brit: african- ni eth cat 2011 census,977791000000109,9t1B.00,13. African,2. Black
250223019,african origin,160514004,1342.00,13. African,2. Black
1968531000006115,african: african/african scot/african brit - scotland 2011,978231000000100,9t2C.00,13. African,2. Black
1565711000006118,south african,1565711000006102,EMISNQSO9,13. African,2. Black
1968541000006113,african: any other african - scotland ethnic cat 2011 census,978251000000107,9t2D.00,13. African,2. Black
30683015,black african,18167009,9S3..00,13. African,2. Black
453110019,black guyana,309644006,9S42.13,14. Other Black,2. Black
459782019,other black ethnic group,315279003,9SG..00,14. Other Black,2. Black
411574019,black arab,275587000,9S43.12,14. Other Black,2. Black
158351000000119,other black background - ethnic category 2001 census,92501000000105,9iD..00,14. Other Black,2. Black
411580010,guyana (nmo),275593008,9SA3.13,14. Other Black,2. Black
411578016,caribbean island (nmo),275591005,9SA3.11,14. Other Black,2. Black
285948017,black indian sub-continent,185995003,9S46.00,14. Other Black,2. Black
285950013,black black - other,185989004,9S48.00,14. Other Black,2. Black
196601000006113,race: afro-caribbean,413465009,134H.00,14. Other Black,2. Black
285932018,black british,185990008,9S41.00,14. Other Black,2. Black
453109012,black west indian,309643000,9S42.12,14. Other Black,2. Black
411573013,black north african,275586009,9S43.11,14. Other Black,2. Black
285931013,"black, other, non-mixed origin",185989004,9S4..00,14. Other Black,2. Black
141591000000113,somali - ethnic category 2001 census,92711000000100,9iD0.00,14. Other Black,2. Black
405067016,caribbean i./w.i./guyana (nmo),270463003,9SA3.00,14. Other Black,2. Black
937731000006115,other black or black unspecified ethnic category 2001 census,92741000000104,9iD4.00,14. Other Black,2. Black
141601000000119,nigerian - ethnic category 2001 census,92731000000108,9iD1.00,14. Other Black,2. Black
405064011,black caribbean/w.i./guyana,270460000,9S42.00,14. Other Black,2. Black
1968571000006117,carib/black: any other black/caribbean grp - scotland 2011,978361000000101,9t2G.00,14. Other Black,2. Black
158371000000111,mixed black - ethnic category 2001 census,92721000000106,9iD3.00,14. Other Black,2. Black
285951012,"black - other, mixed",185998001,9S5..00,14. Other Black,2. Black
285949013,black - other asian,185996002,9S47.00,14. Other Black,2. Black
405065012,black n african/arab/iranian,270461001,9S43.00,14. Other Black,2. Black
514651000006112,black e afric asia/indo-caribb,270462008,9S45.00,14. Other Black,2. Black
285930014,black caribbean,185988007,9S42.11,14. Other Black,2. Black
411576017,black east african asian,275589002,9S45.11,14. Other Black,2. Black
459730016,black - ethnic group,315240009,ESCTBL5,14. Other Black,2. Black
411577014,black indo-caribbean,275590006,9S45.12,14. Other Black,2. Black
411575018,black iranian,275588005,9S43.13,14. Other Black,2. Black
157311000000119,black british - ethnic category 2001 census,110791000000100,9iD2.00,14. Other Black,2. Black
411579012,west indian (nmo),275592003,9SA3.12,14. Other Black,2. Black
141401000000117,chinese - ethnic category 2001 census,92511000000107,9iE..00,15. Chinese,3. Other
1968161000006115,asian/asian brit: chinese - eng+wales ethnic cat 2011 census,976851000000107,9t0B.00,15. Chinese,3. Other
1968331000006114,asian/asian british: chinese - ni ethnic cat 2011 census,977751000000101,9t19.00,15. Chinese,3. Other
1968511000006114,asian: chinese - scotland ethnic category 2011 census,978191000000109,9t2A.00,15. Chinese,3. Other
56590016,chinese,33897005,9S9..00,15. Chinese,3. Other
1968581000006119,other ethnic grp: arab/arab scot/arab british- scotland 2011,978381000000105,9t2H.00,16. Other ethnic group,3. Other
1968211000006112,other ethnic group: arab - eng+wales ethnic cat 2011 census,976951000000102,9t0G.00,16. Other ethnic group,3. Other
4740241000006117,british ethnic minority specified (nmo),186006000,^ESCTBR474024,16. Other ethnic group,3. Other
411581014,north african arab (nmo),275594002,9SA4.11,16. Other ethnic group,3. Other
141631000000113,japanese - ethnic category 2001 census,92761000000103,9iF1.00,16. Other ethnic group,3. Other
1968591000006116,other ethnic grp: any other ethnic grp- scotland 2011 census,978401000000105,9t2J.00,16. Other ethnic group,3. Other
138261000000114,iranian - ethnic category 2001 census,89011000000107,9iFD.00,16. Other ethnic group,3. Other
286022019,new zealand ethnic group nos,186035008,9T1Z.00,16. Other ethnic group,3. Other
286018012,south east asian,186044009,9T1B.00,16. Other ethnic group,3. Other
937871000006114,"mid east (excl israeli, iranian & arab) - eth cat 2001 cens",94071000000100,9iFB.00,16. Other ethnic group,3. Other
141411000000115,other - ethnic category 2001 census,92521000000101,9iF..00,16. Other ethnic group,3. Other
456650013,vietnamese,312859007,9SC..00,16. Other ethnic group,3. Other
286017019,other pacific ethnic group,372148003,9T1A.00,16. Other ethnic group,3. Other
138241000000113,jewish - ethnic category 2001 census,88991000000105,9iF6.00,16. Other ethnic group,3. Other
142901000000119,any other group - ethnic category 2001 census,94151000000105,9iFK.00,16. Other ethnic group,3. Other
285959014,brit. ethnic minor. spec.(nmo),186006000,9SA1.00,16. Other ethnic group,3. Other
1968221000006116,other ethnic: any other grp - eng+wales eth cat 2011 census,976971000000106,9t0H.00,16. Other ethnic group,3. Other
142881000000117,buddhist - ethnic category 2001 census,94131000000103,9iF4.00,16. Other ethnic group,3. Other
141651000000118,malaysian - ethnic category 2001 census,92781000000107,9iF3.00,16. Other ethnic group,3. Other
1968391000006113,other ethnic group: any other grp- ni ethnic cat 2011 census,977871000000100,9t1F.00,16. Other ethnic group,3. Other
937941000006111,mauritian/seychellois/maldivian/st helena eth cat 2001census,94121000000100,9iFJ.00,16. Other ethnic group,3. Other
1968381000006110,other ethnic group: arab - ni ethnic category 2011 census,977851000000109,9t1E.00,16. Other ethnic group,3. Other
405068014,n african arab/iranian (nmo),270464009,9SA4.00,16. Other ethnic group,3. Other
138271000000119,south and central american - ethnic category 2001 census,89021000000101,9iFH.00,16. Other ethnic group,3. Other
285988010,other ethnic nec (nmo),186005001,9SAD.00,16. Other ethnic group,3. Other
141641000000116,filipino - ethnic category 2001 census,92771000000105,9iF2.00,16. Other ethnic group,3. Other
142841000000113,kurdish - ethnic category 2001 census,94091000000101,9iFE.00,16. Other ethnic group,3. Other
138251000000111,arab - ethnic category 2001 census,89001000000105,9iF9.00,16. Other ethnic group,3. Other
4740261000006118,british ethnic minority unspecified (nmo),186007009,^ESCTBR474026,16. Other ethnic group,3. Other
142811000000112,north african - ethnic category 2001 census,94061000000107,9iFA.00,16. Other ethnic group,3. Other
142851000000111,moroccan - ethnic category 2001 census,94101000000109,9iFF.00,16. Other ethnic group,3. Other
411582019,iranian (nmo),275595001,9SA4.12,16. Other ethnic group,3. Other
142891000000115,sikh - ethnic category 2001 census,94141000000107,9iF8.00,16. Other ethnic group,3. Other
142861000000114,latin american - ethnic category 2001 census,94111000000106,9iFG.00,16. Other ethnic group,3. Other
141621000000111,vietnamese - ethnic category 2001 census,92751000000101,9iF0.00,16. Other ethnic group,3. Other
142831000000116,israeli - ethnic category 2001 census,94081000000103,9iFC.00,16. Other ethnic group,3. Other
138281000000117,muslim - ethnic category 2001 census,89031000000104,9iF7.00,16. Other ethnic group,3. Other
286021014,other new zealand ethnic group,186035008,9T1Y.00,16. Other ethnic group,3. Other
285958018,other ethnic non-mixed (nmo),186005001,9SA..00,16. Other ethnic group,3. Other
459785017,other ethnic group,372148003,9SJ..00,16. Other ethnic group,3. Other
285960016,brit. ethnic minor. unsp (nmo),186007009,9SA2.00,16. Other ethnic group,3. Other
157351000000115,hindu - ethnic category 2001 census,110831000000107,9iF5.00,16. Other ethnic group,3. Other
6270391000006119,ethnic groups (1991 census) (united kingdom),365455004,^ESCTET627039,17. Not Stated,5. Not Stated
2484511000000112,ethnic category - 2011 census england and wales,976571000000100,9t0..00,17. Not Stated,5. Not Stated
2484551000000111,ethnic category - 2011 census northern ireland,976591000000101,9t1..00,17. Not Stated,5. Not Stated
253628018,o/e - ethnic origin,162730000,226..11,17. Not Stated,5. Not Stated
286006015,new zealand ethnic groups,186035008,9T1..00,17. Not Stated,5. Not Stated
649261000006110,ethnic groups (census),397731000,9S...00,17. Not Stated,5. Not Stated
286003011,ethnic groups (census) nos,397731000,9SZ..00,17. Not Stated,5. Not Stated
141421000000114,ethnic category not stated - 2001 census,92531000000104,9iG..00,17. Not Stated,5. Not Stated
6591911000006117,ethnic groups,397731000,^ESCTET659191,17. Not Stated,5. Not Stated
2484471000000115,ethnic category - 2011 census,976551000000109,9t...00,17. Not Stated,5. Not Stated
6591901000006115,ethnicity,397731000,^ESCTET659190,17. Not Stated,5. Not Stated
6270381000006117,ethnic groups (1991 census) (uk),365455004,^ESCTET627038,17. Not Stated,5. Not Stated
141291000000111,ethnic category - 2001 census,92381000000106,9i...00,17. Not Stated,5. Not Stated
4740421000006111,ethnicity / related nationality data,186034007,^ESCTET474042,17. Not Stated,5. Not Stated
253627011,o/e - ethnic group,162730000,226..00,17. Not Stated,5. Not Stated
2484591000000115,ethnic category - 2011 census scotland,976611000000109,9t2..00,17. Not Stated,5. Not Stated
456651012,ethnic group not given - patient refused,763726001,9SD..00,17. Not Stated,5. Not Stated
456652017,ethnic group not recorded,312861003,9SE..00,17. Not Stated,5. Not Stated
253635014,o/e - ethnic group nos,162730000,226Z.00,17. Not Stated,5. Not Stated
286005016,ethnicity and other related nationality data,186034007,9T...00,17. Not Stated,5. Not Stated
6364801000006112,ethnic category,372148003,^ESCTET636480,17. Not Stated,5. Not Stated
